Title	URL	Assignees	Status	Labels	Linked pull requests	Milestone	Repository	Reviewers
Set up Firebase	https://github.com/WanderPals/WanderPals/issues/9	tosigame	Done in Sprint #1	Sprint Task, Sprint#1	https://github.com/WanderPals/WanderPals/pull/17		WanderPals/WanderPals	
Create the Overview screen 	https://github.com/WanderPals/WanderPals/issues/51	Exino329	Done in Sprint #2	4h, Code Implementation, Sprint#2	https://github.com/WanderPals/WanderPals/pull/93		WanderPals/WanderPals	
Agenda Screen Display	https://github.com/WanderPals/WanderPals/issues/53	ForestDope	Done in Sprint #2	4h, Code Implementation, Sprint#2			WanderPals/WanderPals	
Implement Google authentication	https://github.com/WanderPals/WanderPals/issues/15	Polo150202	Done in Sprint #2	Code Implementation, Sprint Task, Sprint#1			WanderPals/WanderPals	
Set initial structure of the project	https://github.com/WanderPals/WanderPals/issues/42	Exino329	Done in Sprint #2	1h, Code Implementation, Sprint#2	https://github.com/WanderPals/WanderPals/pull/43		WanderPals/WanderPals	
Implement a CI Action working with Jacobo and Sonar	https://github.com/WanderPals/WanderPals/issues/7	mtv47	Done in Sprint #1	Code Implementation, Sprint Task, Sprint#1, Technical	https://github.com/WanderPals/WanderPals/pull/4		WanderPals/WanderPals	
Set up Github	https://github.com/WanderPals/WanderPals/issues/11	tosigame	Done in Sprint #1	Sprint Task, Sprint#1, Technical			WanderPals/WanderPals	
Setup Figma 	https://github.com/WanderPals/WanderPals/issues/13	ForestDope	Done in Sprint #1	Figma, Sprint Task, Sprint#1			WanderPals/WanderPals	
Setting up a SCRUM board	https://github.com/WanderPals/WanderPals/issues/12	Exino329	Done in Sprint #1	Sprint Task, Sprint#1, Technical			WanderPals/WanderPals	
Ensure project works locally	https://github.com/WanderPals/WanderPals/issues/10	AgeX21, annhit29, Exino329, ForestDope, mtv47, Polo150202, tosigame	Done in Sprint #1	Sprint Task, Sprint#1, Technical			WanderPals/WanderPals	
Create Tasks for Sprint 3	https://github.com/WanderPals/WanderPals/issues/80	mtv47	Done in Sprint #2	2h, Organization, Sprint#2			WanderPals/WanderPals	
User enters the app by signing in or signing up.			Done in Sprint #3					
User selects the option to create a new trip.			Done in Sprint #3					
Invites fellow travelers via email or app username, which creates a group linked to that specifc trip.			Done in Sprint #3					
Within the trip, users access the map feature to search for destinations, lodging, tourist attractions, and restaurants.			Done in Sprint #3					
Users pin selected locations to the map, creating a visual representation of potential places to visit.			Done in Sprint #3					
Group members suggest daily activities and places to visit through a suggestion feed section.			Done in Sprint #3					
Members vote on suggestions using a like/dislike system and discuss details in the comments section under each suggestion.			Done in Sprint #3					
Usera have an overview of all its trips			Done in Sprint #3					
All group members can view the shared agenda, which includes times, dates, and locations.			Done in Sprint #3					
A shared agenda is updated generated based on the finalized itinerary, detailing activities and locations for each day.			Done in Sprint #3					
